# output from https://query.wikidata.org/#SELECT%20%3Fhuman%20%3FhumanLabel%0AWHERE%0A%7B%0A%20%20%3Fhuman%20wdt%3AP21%20wd%3AQ6581097%20.%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20%7D%0A%7D%20LIMIT%202500%0A
human	humanLabel
http://www.wikidata.org/entity/Q2038	François Mitterrand
http://www.wikidata.org/entity/Q2039	Titus Livius
http://www.wikidata.org/entity/Q2040	Giuseppe Farina
http://www.wikidata.org/entity/Q2042	Charles de Gaulle
http://www.wikidata.org/entity/Q2054	Seneca
http://www.wikidata.org/entity/Q2069	Juan Manuel Fanp
http://www.wikidata.org/entity/Q2071	David Lynch
http://www.wikidata.org/entity/Q2072	Marcel Hirscher
http://www.wikidata.org/entity/Q2086	Alberto Ascari
http://www.wikidata.org/entity/Q2097	Kjetil André Aamodt
http://www.wikidata.org/entity/Q2098	Martial
http://www.wikidata.org/entity/Q2104	Mike Hawthorn
http://www.wikidata.org/entity/Q2105	Jacques Chirac
http://www.wikidata.org/entity/Q2116	Hans Schmidt
http://www.wikidata.org/entity/Q2124	Valéry Giscard d'Estaing
http://www.wikidata.org/entity/Q2125	Jack Brabham
http://www.wikidata.org/entity/Q2129	Bode Miller
http://www.wikidata.org/entity/Q2142	Goku
http://www.wikidata.org/entity/Q2147	Giridharilal Kedia
http://www.wikidata.org/entity/Q2153	Subhash Chandra Bose
http://www.wikidata.org/entity/Q2161	Tacitus
http://www.wikidata.org/entity/Q2172	Lance Armstrong
http://www.wikidata.org/entity/Q2185	Georges Pompidou
http://www.wikidata.org/entity/Q2186	Romulus
http://www.wikidata.org/entity/Q2190	Coluche
http://www.wikidata.org/entity/Q2196	Pierre Desproges
http://www.wikidata.org/entity/Q2252	Buzz Aldrin
http://www.wikidata.org/entity/Q2253	Scipio Africanus
http://www.wikidata.org/entity/Q2263	Tom Hanks
http://www.wikidata.org/entity/Q2274	Chet Baker
http://www.wikidata.org/entity/Q2281	Sauron
http://www.wikidata.org/entity/Q2291	Totò
http://www.wikidata.org/entity/Q2307	Scipio Aemilianus
http://www.wikidata.org/entity/Q2327	Emil Sayfutdinov
http://www.wikidata.org/entity/Q2330	Nicki Pedersen
http://www.wikidata.org/entity/Q2339	Robin van Persie
http://www.wikidata.org/entity/Q2489	John Doggett
http://www.wikidata.org/entity/Q2492	Konrad Adenauer
http://www.wikidata.org/entity/Q2494	Benedict XVI
http://www.wikidata.org/entity/Q2496	Ludwig Erhard
http://www.wikidata.org/entity/Q2512	Kurt Georg Kiesinger
http://www.wikidata.org/entity/Q2514	Willy Brandt
http://www.wikidata.org/entity/Q2516	Helmut Schmidt
http://www.wikidata.org/entity/Q2518	Helmut Kohl
http://www.wikidata.org/entity/Q2530	Gerhard Schröder
http://www.wikidata.org/entity/Q2538	Joachim Gauck
http://www.wikidata.org/entity/Q2540	Christian Wulff
http://www.wikidata.org/entity/Q2542	Horst Köhler
http://www.wikidata.org/entity/Q2543	Mark Millar
http://www.wikidata.org/entity/Q2551	Johannes Rau
http://www.wikidata.org/entity/Q2563	Roman Herzog
http://www.wikidata.org/entity/Q2566	Isaac Brock
http://www.wikidata.org/entity/Q2567	Richard von Weizsäcker
http://www.wikidata.org/entity/Q2569	Karl Carstens
http://www.wikidata.org/entity/Q2570	John Romita Jr.
http://www.wikidata.org/entity/Q2571	Walter Scheel
http://www.wikidata.org/entity/Q2573	Gustav Heinemann
http://www.wikidata.org/entity/Q2582	Heinrich Lübke
http://www.wikidata.org/entity/Q2593	Matthew Vaughn
http://www.wikidata.org/entity/Q2594	Theodor Heuss
http://www.wikidata.org/entity/Q2599	Paul McCartney
http://www.wikidata.org/entity/Q2601	Manfred Gerlach
http://www.wikidata.org/entity/Q2602	Egon Krenz
http://www.wikidata.org/entity/Q2604	Pius XII
http://www.wikidata.org/entity/Q2607	Erich Honecker
http://www.wikidata.org/entity/Q2610	Willi Stoph
http://www.wikidata.org/entity/Q2628	Walter Ulbricht
http://www.wikidata.org/entity/Q2632	Ringo Starr
http://www.wikidata.org/entity/Q2643	George Harrison
http://www.wikidata.org/entity/Q2646	Friedrich Ebert
http://www.wikidata.org/entity/Q2655	John Franklin
http://www.wikidata.org/entity/Q2667	Paul von Hindenburg
http://www.wikidata.org/entity/Q2673	Chuck Norris
http://www.wikidata.org/entity/Q2677	Wilhelm II
http://www.wikidata.org/entity/Q2680	Bruce Willis
http://www.wikidata.org/entity/Q2685	Arnold Schwarzenegger
http://www.wikidata.org/entity/Q2737	Louis de Funès
http://www.wikidata.org/entity/Q2738	Fox Mulder
http://www.wikidata.org/entity/Q2750	Bourvil
http://www.wikidata.org/entity/Q2754	Jaroslav Hašek
http://www.wikidata.org/entity/Q2757	Lech Kaczyński
http://www.wikidata.org/entity/Q2767	Daniel Morgan
http://www.wikidata.org/entity/Q2791	Geronimo
http://www.wikidata.org/entity/Q2808	Elton John
http://www.wikidata.org/entity/Q2831	Michael Jackson
http://www.wikidata.org/entity/Q2866	Alexander Lukashenko
http://www.wikidata.org/entity/Q2908	Antoine de Saint-Exupéry
